"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CLDD","DSND","DSNW","EMSD","EMSN","EMXP","PRCP","SNOW"
"US1MIWS0020","ANN ARBOR 1.7 NNW, MI US","42.29982","-83.739201","257.3","2012-11",,,,,,,"0.92",
"US1MIWS0020","ANN ARBOR 1.7 NNW, MI US","42.29982","-83.739201","257.3","2012-12",,,,,,"0.97","2.87",
"US1MIWS0020","ANN ARBOR 1.7 NNW, MI US","42.29982","-83.739201","257.3","2013-01",,,,,,"0.98","3.83",
"US1MIWS0020","ANN ARBOR 1.7 NNW, MI US","42.29982","-83.739201","257.3","2013-02",,,"6",,"5.0","0.90","2.13","14.6"
"US1MIWS0020","ANN ARBOR 1.7 NNW, MI US","42.29982","-83.739201","257.3","2013-04",,,,,,"1.66","6.19",
"US1MIWS0020","ANN ARBOR 1.7 NNW, MI US","42.29982","-83.739201","257.3","2013-05",,,,,,"0.75","2.10",
"US1MIWS0020","ANN ARBOR 1.7 NNW, MI US","42.29982","-83.739201","257.3","2013-06",,,,,,"2.43","7.61",
"US1MIWS0020","ANN ARBOR 1.7 NNW, MI US","42.29982","-83.739201","257.3","2013-07",,,,,,"1.40","3.57",
"US1MIWS0020","ANN ARBOR 1.7 NNW, MI US","42.29982","-83.739201","257.3","2013-08",,,,,,"2.98","4.02",
"US1MIWS0020","ANN ARBOR 1.7 NNW, MI US","42.29982","-83.739201","257.3","2013-09",,,,,,"0.39","1.36",
"US1MIWS0020","ANN ARBOR 1.7 NNW, MI US","42.29982","-83.739201","257.3","2013-10",,,,,,"1.01","3.32",
"US1MIWS0020","ANN ARBOR 1.7 NNW, MI US","42.29982","-83.739201","257.3","2013-11",,,,,,"0.61","2.01",
"US1MIWS0020","ANN ARBOR 1.7 NNW, MI US","42.29982","-83.739201","257.3","2013-12",,,"4",,"6.4","1.08","2.66","11.5"
